Company,Website,State,City,Specialty,Procedure_Focus_Final,Disease_Focus_Tag,Disease_Focus_Evidence,Estimated_ASC_Count,Affiliated_Surgeon_Count,Procedure_Volume_Tier,Ownership_Model,Lead_BD_Contact,Contact_LinkedIn,Flagship_NPI
Orthopaedic Institute of Central California,https://www.oiccal.com/,CA,Bakersfield,,,Orthopedics,Comprehensive musculoskeletal group serving the Bakersfield area: [oiccal.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopaedic Institute of the West,https://oiwest.com/,CA,Los Angeles,Orthopedics,Orthopedic,Orthopedics,Comprehensive musculoskeletal care with high-tier ortho specialists: [oiwest.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopaedic Medical Group of Riverside,https://www.omgr.com/,CA,Riverside,,,Orthopedics | Spine,Large Riverside group affiliated with Glenwood Surgery Center; focus on joint replacement and spine: [omgr.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopaedic Medical Group of Santa Barbara,https://www.orthomedgsb.com/,CA,Santa Barbara,,,Orthopedics | Spine,Provides specialized orthopedic and spinal care to the Central Coast; expert team includes spine surgeons: [orthomedgsb.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopaedic Specialty Institute,https://www.orthospecialty.com/,CA,Orange,Orthopedics,Orthopedic,Orthopedics,Large regional ortho group partnering with Hoag Orthopedic Institute: [orthospecialty.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopedic Associates of North County,https://orthonorthcounty.com/,CA,Oceanside,Orthopedics,Orthopedic,Orthopedics,Long-standing North County practice with wide sub-specialty coverage: [orthonorthcounty.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopedic Associates of Southern California,https://oasc1.com/,CA,Glendale,Orthopedics,Orthopedic,Orthopedics | Spine,"Fellowship-trained surgeons specializing in spine surgery, sports medicine, and interventional pain: [oasc1.com/services]",0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopedic Care Partners,https://ocpmgmt.com/,FL,Gainesville,Orthopedics,Orthopedic,Orthopedics | Spine,"Holding company for The Steadman Clinic and Florida Spine & Pain; portfolio includes comprehensive ortho, spine, and interventional pain divisions: [ocpmgmt.com/about-us]",6,138+,High,Wholly PE-Owned,Rob Passaro,https://www.linkedin.com/in/robpassaro/,1144452491
Orthopedic Specialists of California,https://orthospecialistsca.com/,CA,Whittier,,,Orthopedics | Spine,Specializes in spine surgery and adult reconstructive orthopedics: [orthospecialistsca.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopedic Specialty Institute of Palm Springs,https://osips.com/,CA,Palm Springs,,,Orthopedics,Specialized orthopedic and spinal care in the Coachella Valley: [osips.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopedic Surgeons of Southern California,https://osscsportsmed.com/,CA,Los Angeles,Orthopedics,Orthopedic,Orthopedics,Sports medicine and orthopedic specialists in the LA area: [osscsportsmed.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopedic Surgery Center of Santa Cruz,https://santacruzsurgery.com/,CA,Santa Cruz,,,Orthopedics,Independent surgical facility specializing in outpatient orthopedic and spinal procedures: [santacruzsurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Otay Lakes Surgery Center,https://otaylakessurgerycenter.com/,CA,Chula Vista,,,Multi-Specialty,South San Diego County hub for outpatient musculoskeletal surgery: [otaylakessurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Outpatient Surgery Center of La Jolla,https://osclajolla.com/,CA,La Jolla,,,Multi-Specialty (Ortho/Spine),Physician-owned facility in La Jolla with strong orthopedic focus: [osclajolla.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Pacific Coast Sports Medicine,https://www.pacificcoastsportsmedicine.com/,CA,Los Angeles,,,Orthopedics | Spine | Pain Management,Multidisciplinary clinic in West LA focused on regenerative orthopaedics and spine: [pacificcoastsportsmedicine.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Pacific Heights Surgery Center,https://pacificheightssurgerycenter.com/,CA,San Francisco,,,Multi-Specialty (Ortho/Spine),Independent SF facility focused on advanced orthopedic outpatient procedures: [pacificheightssurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Pacific Orthopaedic & Sports Medical Group,https://pacificortho.com/,CA,Santa Monica,,,Orthopedics,Premier sports medicine group in West LA: [pacificortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Pacific Pain & Wellness Group,https://pacificpaingroup.com/,CA,Torrance,Pain Management,Pain,Pain Management,Integrated pain management and mental health services in South Bay LA: [pacificpaingroup.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Pacific Rim Surgery Center,https://pacificrimsurgery.com/,CA,Monterey,,,Multi-Specialty (Ortho/Spine),Dedicated Monterey facility specializing in orthopedic outpatient care: [pacificrimsurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Pacific Spine and Pain Center,https://pacificspineandpain.com/,CA,Santa Ana,,,Pain Management,Orange County practice focused on interventional pain and spinal health: [pacificspineandpain.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Palomar Orthopedic Specialists,https://www.palomarortho.com/,CA,Escondido,,,Orthopedics | Spine,North County San Diego specialists in spine surgery and joint reconstruction: [palomarortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Pasadena Surgery Center,https://pasadenaasc.com/,CA,Pasadena,,,Multi-Specialty,Dedicated outpatient facility for orthopedic and pain management: [pasadenaasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Peninsula Orthopedic Associates,https://www.poadocs.com/,CA,Daly City,,,Orthopedics,Specializes in sports medicine and orthopedic surgery in Daly City and Menlo Park: [poadocs.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Poway Surgery Center,https://powaysurgerycenter.com/,CA,Poway,,,Multi-Specialty,Independent ASC serving Poway area orthopedic surgeons: [powaysurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Precision Ambulatory Surgery Center,https://beverlyhillsasc.com/pasc/,CA,Beverly Hills,Multi-Specialty,Mixed,Multi-Specialty | Orthopedics | Spine,Beverly Hills ASC Venture facility focusing on outpatient surgery: [beverlyhillsasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Precision Pain Care,https://precisionpaincare.com/,CA,San Jose,,,Pain Management,Specialized interventional pain management with focus on spinal health: [precisionpaincare.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Precision Spine & Pain Management,https://www.precisionpaindoctor.com/,CA,Los Angeles,Pain Management,Pain,Pain Management,Specialized interventional pain management practice: [precisionpaindoctor.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Precision Surgical Center of the Bay Area,https://precisionsurgicalbayarea.com/,CA,San Jose,,,Multi-Specialty,Dedicated outpatient facility for orthopedic and spinal procedures in the South Bay: [precisionsurgicalbayarea.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Premier Spine & Orthopedic Associates,https://doctorsonliens.com/locations/876-fresno-multi-specialty-premier-spine-orthopedic-associates,CA,Fresno,,,Orthopedics | Spine,Multi-specialty spine and ortho group focused on Fresno and surrounding areas.,0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Premier Surgery Center of Santa Maria,https://premiersurgerysantamaria.com/,CA,Santa Maria,,,Multi-Specialty (Ortho/Spine),Central Coast hub for outpatient orthopedic surgery: [premiersurgerysantamaria.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Presidio Surgery Center,https://presidiosurgery.com/,CA,San Francisco,,,Multi-Specialty (Ortho/Spine),Elite SF facility with specialized orthopedic sports medicine programs: [presidiosurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Redding Orthopaedic Group,https://reddingortho.com/,CA,Redding,,,Orthopedics | Spine,Multi-surgeon group providing complete orthopedic and spine services in Northern California: [reddingortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Redwood Orthopaedic Surgery Associates,https://www.redwoodortho.com/,CA,Santa Rosa,,,Orthopedics,North Bay specialists in joint replacement and spinal care: [redwoodortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Renaissance Surgical Institute,https://renaissancesurgical.com/,CA,Los Angeles,,,Multi-Specialty (Ortho/Spine),LA facility specializing in minimally invasive ortho and spine care: [renaissancesurgical.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Restore Orthopedics and Spine Center,https://www.restoreorthopedics.com/,CA,Orange,Orthopedics,Orthopedic,Orthopedics | Spine,Integrated practice with on-site RESTORE Outpatient Surgery center: [restoreorthopedics.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Revolution Orthopedics,https://www.seanrobinsonmd.com/,CA,Sacramento,,,Orthopedics,Specializes in hip arthroscopy and complex sports medicine in Sacramento and Roseville: [seanrobinsonmd.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Riverside Orthopedic Institute,https://riversideortho.com/,CA,Riverside,,,Orthopedics,Regional orthopedic provider focused on joint and sports med: [riversideortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Roseville Orthopedic Surgery and Sports Medicine,https://www.rosevilleorthopedics.com/,CA,Roseville,,,Orthopedics,Full-service orthopedic group serving the Roseville/Sacramento area: [rosevilleorthopedics.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Roseville Surgery Center,https://rosevillesc.com/,CA,Roseville,,,Multi-Specialty (Ortho/Spine),Accredited facility serving Roseville area orthopedic and spine specialists: [rosevillesc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Rothman Orthopaedics,,NY,,,,Orthopedics,,,190+,High,Physician-Owned MSO,Christian Ellison,https://www.linkedin.com/in/christianellison/,1780125914
SCORE Orthopedics,https://scoreorthopedics.com/,CA,San Diego,,,Orthopedics,Sports medicine and joint specialty group in San Diego: [scoreorthopedics.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
SENTA Clinic,https://www.sentaclinic.com/,CA,San Diego,Spine,Spine,Spine | Pain Management,Specialized brain and spine center treating complex neurological/spinal disorders: [sentaclinic.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Sacramento Knee & Sports Medicine,https://www.sacramentoknee.com/,CA,Sacramento,,,Orthopedics,Specialized orthopedic sports medicine group in Sacramento: [sacramentoknee.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Sacramento Orthopedic Sports and Shoulder,https://sacorthosports.com/,CA,Sacramento,,,Orthopedics,Specialized orthopedic sports medicine clinic in the Sacramento region: [sacorthosports.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Saddleback Valley Outpatient Surgery Center,https://saddlebackasc.com/,CA,Laguna Hills,,,Multi-Specialty (Ortho/Spine),South Orange County leader in musculoskeletal surgical care: [saddlebackasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
San Diego Orthopaedic Associates,https://www.sdoamg.com/,CA,San Diego,Orthopedics,Orthopedic,Orthopedics,Oldest ortho practice in San Diego; affiliated with Mission Valley Heights Surgery Center: [sdoamg.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
San Diego Pain Center,https://sandiegopaincenter.com/,CA,San Diego,,,Pain Management,Specialized interventional pain management clinic in San Diego: [sandiegopaincenter.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
San Diego Spine & Rehab,https://www.sdspineandrehab.com/,CA,San Diego,,,Spine,Integrated clinic focused on non-surgical and interventional spine care: [sdspineandrehab.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
San Diego Spine Center,http://sdspinecenter.com/,CA,San Diego,,,Spine,Specialized clinic focused on adult and pediatric spinal disorders: [sdspinecenter.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
San Francisco Spine Surgeons,https://sfspine.com/,CA,San Francisco,,,Spine,Clinical team focused on the treatment of complex neck and back conditions: [sfspine.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
San Marcos Surgery Center,https://sanmarcosasc.com/,CA,San Marcos,,,Multi-Specialty,Specialized surgical facility for orthopedics and pain management in San Diego North County: [sanmarcosasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Santa Rosa Orthopaedics,https://srortho.com/,CA,Santa Rosa,,,Orthopedics | Spine,"North Coast resource for spine, joint replacement, and sports medicine: [srortho.com]",0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Scripps Mercy Surgery Center,https://scrippsmercysurgerycenter.com/,CA,San Diego,,,Multi-Specialty (Ortho/Spine),San Diego facility with significant orthopedic and interventional pain casework: [scrippsmercysurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Shasta Orthopaedics,https://shastaortho.com/,CA,Redding,,,Orthopedics,Largest orthopedic and sports medicine practice in the North State with on-site Liberty Surgery Center: [shastaortho.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Sierra Orthopaedic Institute,https://sierraortho.com/,CA,Sonora,,,Orthopedics,Regional orthopedic provider serving the Sierra foothills: [sierraortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Sierra Pacific Orthopedics,https://www.spoc-ortho.com/,CA,Fresno,,,Orthopedics | Spine,Regional leader in Fresno with on-site surgical and interventional spine programs: [spoc-ortho.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Silicon Valley Orthopaedics,https://www.siliconvalleyortho.com/,CA,Fremont,Orthopedics,Orthopedic,Orthopedics,Focused on joint preservation and sports medicine in the Bay Area: [siliconvalleyortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Silicon Valley Orthopedic Center,https://www.siliconvalleyorthocenter.com/,CA,San Jose,,,Orthopedics,Specializes in spinal surgery and general orthopedics in the South Bay: [siliconvalleyorthocenter.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Silicon Valley Spine & Pain,https://www.svspinepain.com/,CA,Campbell,Spine,Spine,Pain Management,Specialized clinic for spinal diagnostics and interventional pain: [svspinepain.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Silicon Valley Spine & Rehab,https://svspinerehab.com/,CA,San Jose,,,Spine,Comprehensive spinal diagnostics and non-surgical management center: [svspinerehab.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Silicon Valley Surgery Center,https://siliconvalleysurgerycenter.com/,CA,Campbell,,,Multi-Specialty,Modern outpatient facility catering to South Bay ortho and spine specialists: [siliconvalleysurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Simi Valley Surgery Center,https://simivalleyasc.com/,CA,Simi Valley,,,Multi-Specialty,Independent surgical center focused on orthopedic and pain cases: [simivalleyasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Siskiyou Bone & Joint,https://siskiyouboneandjoint.com/,CA,Yreka,,,Orthopedics,Specialized musculoskeletal care in the Siskiyou region: [siskiyouboneandjoint.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Skyway Surgery Center,https://skywaysurgery.com/,CA,Chico,,,Multi-Specialty (Ortho/Spine),Northern California hub for advanced orthopedic outpatient procedures: [skywaysurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Sonoma County Orthopaedic Medical Group,https://www.sonortho.com/,CA,Santa Rosa,,,Orthopedics | Spine,Board-certified orthopedic surgeons specializing in spine and joint restoration: [sonortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
South Bay Orthopaedic Specialists,http://www.southbayortho.com/,CA,Torrance,,,Orthopedics,Established practice in Torrance focused on joints and spinal health: [southbayortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
South Bay Orthopaedic and Sports Medicine,https://southbayorthoandsports.com/,CA,Torrance,,,Orthopedics,Specialized care for sports injuries and spinal conditions in Torrance: [southbayorthoandsports.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
South County Orthopedic Specialists,https://scosortho.com/,CA,Laguna Woods,Orthopedics,Orthopedic,Orthopedics | Spine,Comprehensive ortho and spine care in South Orange County: [scosortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Southern California Orthopedic Institute (SCOI),https://scoi.com/,CA,Van Nuys,Orthopedics,Orthopedic,Orthopedics | Spine,"Region-leading practice with specialized centers for Spine, Sports Medicine, and Pain Management: [scoi.com/specialties]",1 (Center for Orthopedic Surgery),10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Southern California Spine & Joint Institute,https://scspineandjoint.com/,CA,Burbank,,,Spine,Specialized clinic for spinal surgery and joint restoration: [scspineandjoint.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Southern California Spine Institute,https://www.southerncaliforniaspineinstitute.com/,CA,Westlake Village,,,Spine,Specialized clinic for adult and pediatric spinal surgery: [southerncaliforniaspineinstitute.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Specialty Surgical Center of Irvine,https://sscirvine.com/,CA,Irvine,,,Orthopedics | Spine,State-of-the-art ASC focused on advanced orthopedic and spinal procedures: [sscirvine.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Spine Institute of Los Angeles,https://spineinstituteofla.com/,CA,Los Angeles,,,Spine,Focused on comprehensive spinal diagnostics and surgical intervention in LA: [spineinstituteofla.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Spine Institute of San Diego,https://sdispine.com/,CA,San Diego,Spine,Spine,Spine,Specializes in minimally invasive treatment for various spine conditions: [sdispine.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Spine and Pain Institute of California,https://spinepainca.com/,CA,Fremont,,,Pain Management,Dedicated clinic for spinal diagnostics and interventional care in the Bay Area: [spinepainca.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Stockton Orthopaedic Medical Group,https://stocktonortho.com/,CA,Stockton,,,Orthopedics | Spine,Leading orthopedic provider in San Joaquin County with a focus on spine: [stocktonortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Summit Surgical,https://summitsurgical.com/,CA,Santa Barbara,,,Multi-Specialty (Ortho/Spine),Premier Santa Barbara ASC specializing in orthopedic and spinal care: [summitsurgical.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Surgery Center of Long Beach,https://surgerycenterlb.com/,CA,Long Beach,,,Multi-Specialty,High-volume outpatient center with significant orthopedic and spine casework: [surgerycenterlb.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Surgical Center of San Diego,https://surgicalcenterofsandiego.com/,CA,San Diego,,,Multi-Specialty,Physician-owned facility accredited for outpatient orthopedic surgery: [surgicalcenterofsandiego.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Sutter Sierra Surgery Center,https://www.sutterhealth.org/locations/north-bay/sutter-sierra-surgery-center,CA,Roseville,,,Multi-Specialty (Ortho/Spine),Partnership facility with high orthopedic surgical volume in Placer County: [sutterhealth.org],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Tahoe Fracture & Orthopedic Medical Clinic,https://tahoefracture.com/,CA,South Lake Tahoe,,,Orthopedics,Multi-disciplinary practice serving the Sierra Nevada region with dedicated surgical and pain specialists: [tahoefracture.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Tahoe Orthopedics and Sports Medicine,https://www.bartonhealth.org/tahoe-orthopedics-sports-medicine,CA,South Lake Tahoe,Orthopedics,Orthopedic,Orthopedics,Specialized division of Barton Health focusing on musculoskeletal care: [bartonhealth.org],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Tennessee Orthopaedic Alliance,,TN,,,,Orthopedics,,,100+,High,Physician-Owned,Rob Simmons,https://www.linkedin.com/in/rob-simmons-180b5b15/,1851846323
The Spine & Orthopedic Center of Southern California,https://www.socalspineortho.com,CA,Los Angeles,Mixed,Spine,Orthopedics | Spine,"Multi-specialty surgical group focusing on spinal disorders, joint replacement, and interventional pain: [socalspineortho.com]",0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
The Spine Center at UCLA,https://www.uclahealth.org/medical-services/spine,CA,Los Angeles,Spine,Spine,Spine,"Academic center specializing in complex spine surgery, neurosurgery, and disc replacement: [uclahealth.org/medical-services/spine]",0 (Hospital Based),10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Thousand Oaks Surgery Center,https://thousandoaksasc.com/,CA,Thousand Oaks,,,Multi-Specialty,Modern facility specializing in minimally invasive spine and joint surgery: [thousandoaksasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Torrey Pines Orthopaedic Medical Group,https://www.tportho.com/,CA,La Jolla,Orthopedics,Orthopedic,Orthopedics | Spine,Specialized orthopedic hand and spine surgeons in La Jolla: [tportho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Tower Orthopaedics,https://towerorthopaedics.com/,CA,Beverly Hills,Orthopedics,Orthopedic,Orthopedics,Team of board-certified specialists in ortho and neurosurgery: [towerorthopaedics.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Tower Outpatient Surgery Center,https://toweroutpatient.com/,CA,Beverly Hills,,,Multi-Specialty (Ortho/Spine),Beverly Hills based center focused on orthopedic and spinal surgical innovation: [toweroutpatient.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Tri-Valley Orthopedic Specialists,https://www.trivalleyortho.com/,CA,Pleasanton,,,Orthopedics,East Bay practice with roots back to 1955; performs surgery at Hacienda and Pleasanton Surgery Centers: [trivalleyortho.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Truxtun Surgery Center,https://truxtunsurgery.com/,CA,Bakersfield,,,Multi-Specialty (Ortho/Spine),Accredited Bakersfield ASC focusing on same-day orthopedic procedures: [truxtunsurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
UCLA Orthopaedic Surgery,https://www.uclahealth.org/departments/ortho,CA,Los Angeles,Unknown,Spine,Orthopedics | Spine,"Comprehensive academic department covering all orthopedic sub-specialties including complex spine, joints, and trauma: [uclahealth.org/departments/ortho]",0 (Academic Dept),10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
US Orthopedic Partners (USOP),https://usorthopedicalliance.com/,TN | GA | MS | LA,Los Angeles,Orthopedics,Orthopedic,Orthopedics | Spine,Integrated musculoskeletal platform including specialized divisions for orthopedic spine surgery and interventional pain medicine: [us-orthopartners.com/physician-opportunities],20+,150+,High,Wholly PE-Owned,Graham Young,https://www.linkedin.com/in/graham-young-0a6a3b2b/,1235458183
United Musculoskeletal Partners (UMP),,GA,,,,Orthopedics | Spine,,,300+,High,Physician-Owned MSO,Alex Bateman,https://www.linkedin.com/in/alex-bateman-5a127a4/,1720115066
University Ambulatory Surgery Center,https://universityambulatorysurgerycenter.com/,CA,San Diego,,,Multi-Specialty (Ortho/Spine),Dedicated San Diego center for outpatient orthopedic and spinal procedures: [universityambulatorysurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Valencia Surgical Center,https://valenciasurgical.com/,CA,Valencia,,,Multi-Specialty,Accredited facility for outpatient orthopedic surgery in Santa Clarita: [valenciasurgical.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Valley Bone & Joint,https://valleyboneandjoint.com/,CA,Merced,,,Orthopedics | Spine,Specialized orthopedic and spinal care in the Central Valley: [valleyboneandjoint.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Valley Orthopedic Institute,https://www.valleyorthos.com/,CA,Palmdale,Orthopedics,Orthopedic,Orthopedics,Board-certified surgeons serving Palmdale and Ridgecrest: [valleyorthos.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Valley Orthopedic Surgery Center,https://valleyorthopaedic.com/,CA,Garden Grove,,,Orthopedics | Spine,Independent ASC specializing in outpatient orthopedic and spine surgery: [valleyorthopaedic.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Ventura County Orthopedic Associates,https://www.venturacountyortho.com/,CA,Ventura,,,Orthopedics,Focuses on sports medicine and interventional pain management: [venturacountyortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Ventura Orthopedic Medical Group,https://venturaortho.com/,CA,Ventura,,,Orthopedics,Physician-owned group with dedicated Ventura Orthopedics Surgery Center: [venturaortho.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
West Hills Orthopedic Surgery Center,https://westhillsosc.com/,CA,West Hills,,,Orthopedics,Physician-owned ASC providing specialized orthopedic outpatient care: [westhillsosc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
West Hills Surgery Center,https://westhillsasc.com/,CA,West Hills,,,Multi-Specialty,High-acuity outpatient center for spinal and orthopedic surgery in the Valley: [westhillsasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Westside Orthopedic Group,https://www.westsideortho.com/,CA,Los Angeles,Orthopedics,Orthopedic,Orthopedics | Spine,"Focused on advanced spine surgery including microdiscectomy and lumbar fusion, plus general ortho: [westsideortho.com/services]",0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Wilshire Surgery Center,https://wilshiresurgery.com/,CA,Los Angeles,,,Multi-Specialty (Ortho/Spine),Specialized outpatient facility in Los Angeles for musculoskeletal care: [wilshiresurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Wilshire West Surgery Center,https://wilshirewestsurgery.com/,CA,Los Angeles,,,Multi-Specialty,Specialized center for outpatient orthopedic and interventional pain: [wilshirewestsurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Yosemite Bone and Joint,https://yosemiteboneandjoint.com/,CA,Merced,Orthopedics,Orthopedic,Orthopedics,Regional orthopedic provider in the Central Valley: [yosemiteboneandjoint.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Yuba City Surgery Center,https://yubacitysurgerycenter.com/,CA,Yuba City,,,Multi-Specialty (Ortho/Spine),Accredited facility providing outpatient surgical services to Sutter County: [yubacitysurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Baylor Scott & White Texas Spine and Joint Hospital,https://www.tsjh.org/,TX,Tyler,Spine | Orthopedics,Spine/Ortho,Spine,Specialty hospital dedicated to spine and joint care: [tsjh.org],1,50+,High,Hybrid JV (BSW/USPI),Jason Cagle (USPI COO),https://www.linkedin.com/in/jason-cagle-2166a91/,1659492163
